iter	Passed	Remaining
365	3444	5967
366	3449	5950
367	3456	5936
368	3462	5921
369	3469	5907
370	3475	5892
371	3481	5877
372	3488	5864
373	3494	5848
374	3501	5835
375	3507	5821
376	3513	5806
377	3520	5793
378	3526	5778
379	3532	5763
380	3538	5749
381	3545	5735
382	3552	5723
383	3558	5709
384	3566	5697
385	3573	5684
386	3582	5673
387	3588	5659
388	3595	5646
389	3601	5632
390	3607	5618
391	3614	5606
392	3620	5591
393	3627	5579
394	3633	5565
395	3639	5551
396	3647	5539
397	3653	5526
398	3662	5516
399	3668	5503
400	3676	5491
401	3682	5478
402	3688	5464
403	3695	5452
404	3702	5439
405	3709	5427
406	3715	5413
407	3722	5401
408	3729	5389
409	3736	5376
410	3744	5365
411	3750	5353
412	3757	5340
413	3764	5327
414	3771	5316
415	3778	5304
416	3783	5290
417	3791	5278
418	3797	5265
419	3805	5255
420	3811	5242
421	3819	5230
422	3825	5218
423	3831	5204
424	3839	5194
425	3845	5181
426	3853	5171
427	3859	5158
428	3867	5147
429	3873	5135
430	3880	5123
431	3887	5111
432	3893	5098
433	3901	5088
434	3907	5075
435	3915	5064
436	3920	5050
437	3925	5037
438	3932	5025
439	3938	5012
440	3945	5001
441	3951	4988
442	3957	4976
443	3965	4965
444	3971	4952
445	3978	4941
446	3984	4929
447	3990	4916
448	3997	4906
449	4004	4894
450	4017	4890
451	4024	4879
452	4032	4868
453	4038	4856
454	4044	4844
455	4050	4831
456	4058	4822
457	4064	4809
458	4071	4799
459	4078	4787
460	4084	4775
461	4090	4763
462	4096	4751
463	4104	4741
464	4109	4728
465	4118	4718
466	4124	4706
467	4130	4695
468	4138	4685
469	4144	4673
470	4151	4662
471	4157	4650
472	4165	4640
473	4170	4628
474	4176	4616
475	4184	4606
476	4190	4595
477	4198	4585
478	4204	4573
479	4210	4561
480	4218	4551
481	4224	4539
482	4232	4530
483	4237	4517
484	4245	4507
485	4251	4496
486	4256	4484
487	4264	4474
488	4270	4462
489	4278	4453
490	4283	4440
491	4289	4429
492	4297	4419
493	4302	4407
494	4311	4398
495	4317	4387
496	4325	4377
497	4331	4366
498	4340	4357
499	4347	4347
500	4353	4335
501	4360	4325
502	4366	4313
503	4373	4304
504	4379	4292
505	4385	4281
506	4391	4270
507	4397	4258
508	4405	4249
509	4412	4239
510	4420	4230
511	4427	4219
512	4435	4210
513	4442	4200
514	4451	4192
515	4457	4181
516	4463	4169
517	4470	4160
518	4475	4148
519	4483	4138
520	4489	4127
521	4495	4116
522	4504	4107
523	4510	4097
524	4518	4088
525	4524	4077
526	4532	4068
527	4538	4057
528	4548	4049
529	4554	4038
530	4561	4028
531	4568	4018
532	4575	4009
533	4582	3999
534	4588	3987
535	4596	3978
536	4601	3967
537	4608	3957
538	4614	3946
539	4618	3934
540	4626	3925
541	4632	3914
542	4641	3906
543	4647	3895
544	4654	3886
545	4661	3875
546	4667	3865
547	4674	3855
548	4680	3845
549	4688	3835
550	4694	3825
551	4701	3816
552	4707	3805
553	4713	3794
554	4721	3785
555	4727	3775
556	4735	3766
557	4741	3755
558	4746	3744
559	4754	3735
560	4759	3724
561	4768	3716
562	4774	3706
563	4782	3696
564	4788	3686
565	4793	3675
566	4801	3666
567	4807	3656
568	4815	3647
569	4821	3637
570	4829	3628
571	4835	3618
572	4841	3607
573	4849	3599
574	4855	3588
575	4863	3579
576	4869	3569
577	4876	3560
578	4882	3550
579	4888	3540
580	4897	3531
581	4903	3521
582	4910	3512
583	4915	3501
584	4921	3491
585	4930	3483
586	4943	3477
587	4948	3467
588	4956	3458
589	4965	3450
590	4972	3441
591	4979	3431
592	4984	3421
593	4992	3412
594	4998	3402
595	5005	3393
596	5011	3382
597	5017	3372
598	5024	3363
599	5029	3353
600	5037	3344
601	5042	3333
602	5049	3324
603	5055	3314
604	5061	3304
605	5069	3296
606	5075	3286
607	5083	3277
608	5089	3267
609	5097	3258
610	5103	3249
611	5109	3239
612	5117	3230
613	5124	3221
614	5132	3212
615	5138	3202
616	5145	3193
617	5151	3184
618	5157	3174
619	5165	3165
620	5172	3157
621	5181	3148
622	5186	3138
623	5194	3129
624	5200	3120
625	5206	3110
626	5214	3101
627	5219	3091
628	5226	3082
629	5232	3073
630	5238	3063
631	5244	3053
632	5251	3044
633	5259	3036
634	5264	3026
635	5272	3017
636	5278	3008
637	5284	2998
638	5291	2989
639	5297	2979
640	5304	2970
641	5311	2961
642	5316	2951
643	5323	2943
644	5329	2933
645	5337	2924
646	5343	2915
647	5349	2905
648	5356	2896
649	5362	2887
650	5370	2878
651	5375	2869
652	5381	2859
653	5388	2850
654	5394	2841
655	5402	2833
656	5409	2824
657	5417	2815
658	5424	2806
659	5432	2798
660	5439	2789
661	5447	2781
662	5454	2772
663	5460	2762
664	5468	2754
665	5475	2745
666	5482	2737
667	5488	2727
668	5495	2719
669	5501	2709
670	5507	2700
671	5514	2691
672	5520	2682
673	5527	2673
674	5533	2664
675	5539	2654
676	5547	2646
677	5554	2637
678	5562	2629
679	5568	2620
680	5577	2612
681	5584	2604
682	5593	2596
683	5600	2587
684	5607	2578
685	5612	2569
686	5619	2560
687	5626	2551
688	5632	2542
689	5639	2533
690	5645	2524
691	5651	2515
692	5658	2506
693	5664	2497
694	5671	2488
695	5677	2479
696	5683	2470
697	5690	2462
698	5696	2452
699	5703	2444
700	5709	2435
701	5714	2425
702	5722	2417
703	5728	2408
704	5736	2400
705	5741	2391
706	5749	2382
707	5756	2374
708	5762	2365
709	5770	2356
710	5775	2347
711	5785	2340
712	5791	2331
713	5799	2323
714	5805	2314
715	5813	2305
716	5819	2296
717	5825	2287
718	5832	2279
719	5838	2270
720	5846	2262
721	5852	2253
722	5860	2245
723	5866	2236
724	5872	2227
725	5879	2219
726	5885	2210
727	5892	2201
728	5898	2192
729	5905	2184
730	5917	2177
731	5926	2169
732	5932	2160
733	5941	2153
734	5946	2144
735	5955	2136
736	5960	2127
737	5967	2118
738	5973	2109
739	5980	2101
740	5987	2092
741	5993	2084
742	6000	2075
743	6007	2067
744	6012	2058
745	6019	2049
746	6025	2040
747	6033	2032
748	6039	2023
749	6045	2015
750	6052	2006
751	6058	1997
752	6066	1989
753	6071	1980
754	6078	1972
755	6084	1963
756	6089	1954
757	6097	1946
758	6103	1938
759	6111	1929
760	6117	1921
761	6123	1912
762	6131	1904
763	6137	1895
764	6144	1887
765	6149	1878
766	6157	1870
767	6162	1861
768	6168	1852
769	6175	1844
770	6182	1836
771	6189	1827
772	6194	1819
773	6200	1810
774	6207	1802
775	6213	1793
776	6220	1785
777	6227	1776
778	6233	1768
779	6240	1760
780	6247	1751
781	6254	1743
782	6260	1735
783	6266	1726
784	6273	1718
785	6279	1709
786	6287	1701
787	6294	1693
788	6303	1685
789	6310	1677
790	6318	1669
791	6325	1661
792	6333	1653
793	6340	1645
794	6349	1637
795	6357	1629
796	6366	1621
797	6374	1613
798	6382	1605
799	6390	1597
800	6398	1589
801	6405	1581
802	6415	1574
803	6424	1566
804	6434	1558
805	6443	1550
806	6451	1542
807	6461	1535
808	6468	1527
809	6477	1519
810	6484	1511
811	6493	1503
812	6500	1495
813	6509	1487
814	6516	1479
815	6525	1471
816	6533	1463
817	6541	1455
818	6548	1447
819	6559	1439
820	6567	1431
821	6576	1424
822	6584	1416
823	6594	1408
824	6602	1400
825	6610	1392
826	6619	1384
827	6626	1376
828	6635	1368
829	6642	1360
830	6651	1352
831	6658	1344
832	6666	1336
833	6673	1328
834	6680	1320
835	6688	1312
836	6695	1303
837	6703	1295
838	6710	1287
839	6719	1279
840	6725	1271
841	6734	1263
842	6741	1255
843	6750	1247
844	6757	1239
845	6765	1231
846	6773	1223
847	6782	1215
848	6789	1207
849	6799	1199
850	6806	1191
851	6815	1183
852	6823	1175
853	6830	1167
854	6836	1159
855	6845	1151
856	6853	1143
857	6867	1136
858	6876	1128
859	6885	1120
860	6895	1113
861	6902	1104
862	6911	1097
863	6917	1088
864	6926	1081
865	6933	1072
866	6942	1065
867	6949	1056
868	6958	1048
869	6965	1040
870	6973	1032
871	6980	1024
872	6988	1016
873	6995	1008
874	7004	1000
875	7011	992
876	7020	984
877	7027	976
878	7036	968
879	7043	960
880	7052	952
881	7059	944
882	7068	936
883	7075	928
884	7083	920
885	7091	912
886	7101	904
887	7108	896
888	7116	888
889	7122	880
890	7130	872
891	7138	864
892	7145	856
893	7153	848
894	7162	840
895	7169	832
896	7177	824
897	7184	816
898	7192	808
899	7200	800
900	7208	792
901	7214	783
902	7223	775
903	7230	767
904	7239	759
905	7246	751
906	7255	743
907	7262	735
908	7271	727
909	7278	719
910	7287	711
911	7295	703
912	7304	696
913	7311	687
914	7320	680
915	7327	671
916	7337	664
917	7343	655
918	7352	648
919	7359	639
920	7368	632
921	7375	623
922	7385	616
923	7392	608
924	7399	599
925	7407	591
926	7417	584
927	7424	576
928	7432	568
929	7440	560
930	7450	552
931	7458	544
932	7466	536
933	7474	528
934	7484	520
935	7493	512
936	7500	504
937	7509	496
938	7516	488
939	7525	480
940	7532	472
941	7540	464
942	7549	456
943	7558	448
944	7565	440
945	7575	432
946	7583	424
947	7593	416
948	7601	408
949	7611	400
950	7618	392
951	7626	384
952	7634	376
953	7641	368
954	7648	360
955	7657	352
956	7664	344
957	7672	336
958	7680	328
959	7687	320
960	7696	312
961	7704	304
962	7712	296
963	7719	288
964	7727	280
965	7735	272
966	7742	264
967	7750	256
968	7759	248
969	7767	240
970	7776	232
971	7783	224
972	7791	216
973	7800	208
974	7814	200
975	7821	192
976	7831	184
977	7840	176
978	7848	168
979	7857	160
980	7864	152
981	7873	144
982	7879	136
983	7887	128
984	7895	120
985	7903	112
986	7910	104
987	7917	96
988	7925	88
989	7933	80
990	7940	72
991	7947	64
992	7955	56
993	7962	48
994	7970	40
995	7977	32
996	7986	24
997	7993	16
998	8001	8
999	8008	0
