iter	RMSE
0	0.9451613013
1	0.880695005
2	0.8212777538
3	0.7663575239
4	0.7157202484
5	0.668867087
6	0.6256471187
7	0.5860587536
8	0.5498270104
9	0.515748503
10	0.4848628601
11	0.455620595
12	0.4293193248
13	0.4053240837
14	0.3829230848
15	0.3621990713
16	0.3425299941
17	0.3253716739
18	0.3093225413
19	0.293993649
20	0.2796907603
21	0.2661145182
22	0.2538755988
23	0.2430330729
24	0.232417681
25	0.22290615
26	0.2143514697
27	0.2062187577
28	0.1987552538
29	0.1915585873
30	0.1850597941
31	0.1791311545
32	0.1740103482
33	0.1690114067
34	0.1644496698
35	0.1600416357
36	0.1559057266
37	0.1520475485
38	0.1484215904
39	0.1453672788
40	0.1425494329
41	0.1398518155
42	0.1371868817
43	0.1347240457
44	0.1324905273
45	0.1304092977
46	0.1283892109
47	0.1265385167
48	0.1245415071
49	0.1228712647
50	0.1212907217
51	0.1198729282
52	0.1185062912
53	0.1172458814
54	0.1160122521
55	0.1148815942
56	0.113839724
57	0.1127345033
58	0.1117928219
59	0.1109320909
60	0.1101024759
61	0.109278199
62	0.1084255551
63	0.1076819337
64	0.1069676513
65	0.1063198174
66	0.1057886118
67	0.1051845693
68	0.1046324507
69	0.1040092936
70	0.1034996731
71	0.1029837846
72	0.1024805991
73	0.101929303
74	0.101443574
75	0.1010693391
76	0.1007238946
77	0.100337585
78	0.1000115719
79	0.09965125322
80	0.09931943842
81	0.09898963523
82	0.09859502576
83	0.0982737867
84	0.09803403468
85	0.09782522734
86	0.09754937721
87	0.09730592442
88	0.09710977214
89	0.09692007985
90	0.09671883512
91	0.09645425886
92	0.09616284775
93	0.09595612892
94	0.09577305721
95	0.09562443486
96	0.09546828341
97	0.09529161965
98	0.09510688477
99	0.09496476495
100	0.09484364942
101	0.09468496503
102	0.09451176797
103	0.09436831138
104	0.0942762508
105	0.094152536
106	0.09405665532
107	0.09386839089
108	0.09374942131
109	0.09367866729
110	0.09352370407
111	0.09336537601
112	0.09316698314
113	0.0930412677
114	0.09293499897
115	0.09275909901
116	0.09265837265
117	0.09258197087
118	0.09253274067
119	0.09244870939
120	0.0923897954
121	0.09225526299
122	0.09217033207
123	0.09205862858
124	0.09200640415
125	0.09192659426
126	0.09181892379
127	0.09175891462
128	0.09169026708
129	0.09158686014
130	0.09145336896
131	0.09139422492
132	0.09134754723
133	0.09130981832
134	0.09123610917
135	0.0910913043
136	0.09102852442
137	0.09095780949
138	0.09079460775
139	0.09074121657
140	0.09065764258
141	0.0905646048
142	0.09051079843
143	0.09045126277
144	0.09036682863
145	0.09029817352
146	0.09023851887
147	0.09016876957
148	0.09010868547
149	0.0900691808
150	0.09001285362
151	0.08996252748
152	0.08988855325
153	0.089838241
154	0.08974894591
155	0.08970909061
156	0.08967968181
157	0.08962280728
158	0.08954023415
159	0.08947067521
160	0.08942244886
161	0.08934009863
162	0.0892439544
163	0.08917981098
164	0.0891208538
165	0.08904860757
166	0.08899921934
167	0.08898920624
168	0.08896831419
169	0.08889736801
170	0.08883993734
171	0.08882730272
172	0.0887814677
173	0.08871634917
174	0.08866642172
175	0.08860682079
176	0.08855957797
177	0.08849034517
178	0.08844645353
179	0.08841598312
180	0.08840039234
181	0.08834658092
182	0.08827864298
183	0.08824155261
184	0.08821913115
185	0.08819178914
186	0.08810913956
187	0.0880891456
188	0.08804996481
189	0.08801071309
190	0.08796750467
191	0.08789453274
192	0.08785870781
193	0.08780577308
194	0.08777423371
195	0.08772151209
196	0.08767362884
197	0.08763563899
198	0.08758563025
199	0.08748092981
200	0.08742853095
201	0.08738440921
202	0.08736484855
203	0.08731355627
204	0.08729786843
205	0.08726620089
206	0.08722520884
207	0.08719764768
208	0.08714313022
209	0.08707335042
210	0.08703461277
211	0.08702504491
212	0.0869983092
213	0.08694137003
214	0.08690453919
215	0.08688526567
216	0.08685207257
217	0.08679872655
218	0.08675793218
219	0.08672721552
220	0.08670074771
221	0.08662858895
222	0.08660307867
223	0.0865740172
224	0.08654732583
225	0.08648744398
226	0.08645357898
227	0.08640923321
228	0.08638472727
229	0.0863342467
230	0.08622605687
231	0.08619191655
232	0.08616124372
233	0.08612429549
234	0.08609501276
235	0.08603918321
236	0.08601534881
237	0.08598157867
238	0.08593117615
239	0.08591498937
240	0.08584815618
241	0.08583486635
242	0.085805171
243	0.08575695294
244	0.08574954281
245	0.08572477303
246	0.08571882799
247	0.08569688941
248	0.08567254995
249	0.08563900442
250	0.08558989627
251	0.08555411085
252	0.08554884729
253	0.08552079709
254	0.08550124745
255	0.0854965353
256	0.08546727514
257	0.08544182931
258	0.08540348203
259	0.08540146979
260	0.08535904401
261	0.08532676008
262	0.08530594317
263	0.08528560346
264	0.08528390572
265	0.08528207995
266	0.08524681698
267	0.08523206361
268	0.08519254764
269	0.08512702365
270	0.08512016652
271	0.08511867593
272	0.08507350357
273	0.08507186646
274	0.0850703078
275	0.08504405482
